Chrlevel	Year	ContigN50	Platform	Genome_num
yes	2023/2/20	14500.00 	Other_TGS	1
no	2023/10/5	14342.62 	Other_TGS	1
yes	2023/8/4	14300.00 	HiFi	1
yes	2021/11/4	14297.00 	Other_TGS	1
yes	2023/8/4	14200.00 	HiFi	1
yes	2022/1/3	14140.00 	Other_TGS	1
yes	2023/4/4	14100.00 	HiFi	1
yes	2022/10/5	14000.00 	Other_TGS	1
yes	2023/6/13	14000.00 	HiFi	1
yes	2022/6/17	13886.54 	HiFi	1
yes	2023/6/24	13770.00 	HiFi	1
yes	2022/8/17	13701.39 	Other_TGS	1
yes	2022/10/5	13700.00 	Other_TGS	1
yes	2022/8/4	13656.03 	HiFi	1
yes	2023/6/24	13520.00 	HiFi	1
yes	2022/11/10	13482.10 	HiFi	1
yes	2022/5/12	13400.00 	Other_TGS	1
yes	2020/10/1	13370.00 	Other_TGS	1
yes	2022/7/18	13334.49 	Other_TGS	1
yes	2023/5/31	13320.00 	HiFi	1
yes	2022/1/6	13300.00 	HiFi	1
yes	2022/1/6	13300.00 	HiFi	1
yes	2023/11/10	13290.00 	Other_TGS	1
yes	2020/7/28	13200.00 	Other_TGS	1
yes	2020/11/1	13160.00 	Other_TGS	1
yes	2021/8/9	13150.00 	Other_TGS	1
yes	2023/12/18	13060.00 	Other_TGS	1
yes	2022/7/11	13000.00 	HiFi	1
yes	2023/3/9	13000.00 	Other_TGS	1
yes	2023/6/28	12914.00 	HiFi	1
yes	2022/5/9	12800.00 	Other_TGS	1
yes	2023/5/17	12740.00 	HiFi	1
yes	2023/12/8	12682.46 	Other_TGS	1
yes	2021/8/5	12680.00 	Other_TGS	1
yes	2022/6/18	12600.00 	Other_TGS	1
yes	2022/12/1	12600.00 	HiFi	1
yes	2022/1/24	12520.00 	Other_TGS	1
yes	2023/1/23	12500.00 	HiFi	1
yes	2022/10/5	12500.00 	Other_TGS	1
yes	2023/4/17	12384.00 	HiFi	1
yes	2022/6/20	12320.00 	HiFi	1
yes	2018/2/7	12300.00 	Other_TGS	1
yes	2023/10/17	12232.78 	Other_TGS	1
yes	2022/1/11	12206.00 	Other_TGS	1
yes	2022/10/5	12200.00 	Other_TGS	1
yes	2021/7/22	12140.00 	Other_TGS	1
yes	2023/9/22	12139.91 	Other_TGS	1
yes	2023/7/21	12120.00 	HiFi	1
yes	2023/6/28	12110.00 	Other_TGS	1
yes	2022/2/19	12100.00 	Other_TGS	1
yes	2022/4/18	12092.86 	Other_TGS	1
yes	2023/12/21	12040.00 	HiFi	1
yes	2023/6/20	12000.00 	HiFi	1
yes	2022/12/12	11990.00 	HiFi	1
yes	2021/4/26	11978.00 	Other_TGS	1
yes	2022/12/28	11930.00 	Other_TGS	1
no	2021/6/28	11907.00 	Other_TGS	1
yes	2023/3/9	11900.00 	Other_TGS	1
yes	2023/4/17	11869.77 	HiFi	1
yes	2023/10/10	11860.00 	HiFi	1
no	2019/11/25	11840.00 	Other_TGS	1
yes	2023/9/14	11800.00 	HiFi	1
yes	2021/7/10	11740.00 	Other_TGS	1
yes	2021/8/23	11690.00 	Other_TGS	1
yes	2021/9/29	11650.00 	Other_TGS	1
yes	2023/2/9	11625.27 	Other_TGS	1
yes	2023/9/14	11600.00 	HiFi	1
yes	2021/4/20	11590.00 	Other_TGS	1
yes	2020/12/9	11500.00 	Other_TGS	1
yes	2021/1/5	11500.00 	Other_TGS	1
yes	2022/5/12	11500.00 	Other_TGS	1
yes	2022/9/19	11490.00 	Other_TGS	1
yes	2023/6/20	11430.00 	HiFi	1
yes	2022/6/9	11330.00 	HiFi	1
