Year	ContigN50
2023	3100.00
2023	79180.00
2023	5400.00
2023	5100.00
2023	4200.00
2023	3800.00
2023	425.00
2023	2002.00
2023	449.00
2023	15538.00
2023	546.00
2023	579.00
2023	600.00
2023	2513.00
2023	2079.00
2023	678.00
2023	3691.00
2023	181203.00
2023	1782.03
2023	908.73
2023	460.18
2023	3586.53
2023	20595.80
2023	490.25
2023	751.66
2023	1340.71
2023	1755.03
2023	314.15
2023	817.52
2023	473.38
2023	435.04
2023	456.28
2023	2928.22
2023	382.84
2023	1025.36
2023	1161.55
2023	1585.10
2023	299.05
2023	1534.40
2023	962.62
2023	259.20
2023	421.43
2023	1145.11
2023	688.59
2023	1091.81
2023	406.75
2023	513.80
2023	21128.88
2023	2061.30
2023	721.40
2023	716.09
2023	1002.76
2023	336.75
2023	854.32
2023	459.40
2023	2754.56
2023	448.37
2023	2150.88
2023	945.33
2023	1327.07
2023	1265.49
2023	459.46
2023	438.21
2023	1005.75
2023	733.27
2023	382.94
2023	359.64
2023	508.82
2023	503.59
2023	818.31
2023	861.76
2023	1567.04
2023	1286.17
2023	737.60
2023	5214.07
2023	984.17
2023	419.08
2023	227.79
2023	1435.52
2023	487.30
2023	861.78
2023	437.98
2023	1031.05
2023	1135.43
2023	856.02
2023	20967.56
2023	724.53
2023	968.62
2023	1143.17
2023	859.75
2023	2628.15
2023	414.38
2023	462.55
2023	465.20
2023	397.31
2023	312.68
2023	830.00
2023	1142.35
2023	1366.92
2023	802.25
2023	217.63
2023	1427.03
2023	126.88
2023	326.27
2023	5005.34
2023	1540.75
2023	290.02
2023	5539.07
2023	3275.66
2023	612.48
2023	1381.76
2023	5545.48
2023	443.13
2023	1499.85
2023	668.76
2023	313.69
2023	535.06
2023	143.83
2023	584.54
2023	513.74
2023	3763.89
2023	473.55
2023	867.20
2023	2262.29
2023	1686.04
2023	927.92
2023	5497.66
2023	397.98
2021	1410.00
2021	4650.00
2021	1880.00
2021	1740.00
