Year	Size
20y	807.60 
20y	807.60 
3y	807.01 
3y	805.60 
20y	805.00 
3y	804.50 
3y	804.26 
3y	804.11 
3y	804.07 
20y	804.00 
3y	804.00 
3y	801.00 
3y	800.00 
3y	800.00 
3y	799.40 
20y	798.00 
20y	798.00 
20y	797.93 
3y	794.00 
3y	793.24 
20y	793.20 
20y	792.00 
20y	792.00 
3y	791.16 
3y	790.99 
3y	790.00 
3y	790.00 
3y	787.80 
3y	787.47 
3y	787.00 
3y	787.00 
20y	786.00 
20y	785.53 
3y	785.36 
3y	785.00 
3y	784.00 
20y	784.00 
20y	783.80 
3y	783.70 
3y	783.48 
3y	782.52 
3y	780.24 
3y	780.00 
20y	777.00 
20y	775.20 
3y	774.70 
3y	774.10 
3y	773.36 
20y	772.30 
3y	771.67 
3y	770.51 
3y	769.44 
3y	769.20 
20y	768.00 
20y	767.40 
3y	766.02 
3y	766.00 
3y	765.60 
3y	764.10 
3y	764.00 
3y	763.62 
3y	762.60 
3y	762.00 
3y	762.00 
20y	761.22 
20y	761.00 
3y	761.00 
20y	760.89 
3y	760.66 
20y	760.10 
20y	760.00 
3y	759.00 
3y	758.00 
3y	757.02 
3y	756.80 
3y	755.41 
20y	755.00 
3y	754.20 
3y	752.88 
3y	751.90 
3y	751.00 
3y	750.87 
3y	750.19 
20y	750.00 
3y	749.58 
3y	748.70 
3y	748.00 
20y	747.50 
3y	746.50 
20y	746.10 
3y	745.78 
20y	745.00 
3y	744.36 
20y	744.20 
3y	744.00 
20y	743.00 
20y	741.60 
3y	740.20 
3y	740.00 
3y	740.00 
3y	739.58 
20y	739.00 
20y	739.00 
20y	738.50 
20y	737.80 
20y	737.47 
3y	737.35 
3y	737.03 
20y	736.80 
20y	736.66 
3y	735.86 
3y	735.70 
20y	735.00 
20y	734.80 
20y	734.60 
3y	733.32 
20y	733.30 
3y	733.26 
3y	733.00 
20y	732.20 
20y	732.00 
20y	730.70 
3y	730.00 
20y	728.50 
20y	727.00 
20y	727.00 
20y	726.60 
20y	725.20 
20y	725.00 
20y	721.50 
3y	721.20 
3y	720.00 
3y	718.30 
20y	716.60 
20y	716.47 
3y	716.44 
3y	715.95 
3y	715.90 
20y	715.00 
20y	714.70 
20y	713.00 
3y	712.00 
20y	712.00 
3y	711.47 
20y	711.00 
20y	710.00 
3y	710.00 
3y	709.90 
3y	709.12 
3y	708.77 
3y	707.42 
3y	707.16 
20y	707.00 
20y	707.00 
20y	706.00 
20y	706.00 
3y	706.00 
3y	704.00 
3y	703.92 
3y	703.00 
3y	703.00 
3y	702.10 
3y	701.62 
3y	700.60 
20y	700.00 
3y	699.33 
3y	698.63 
3y	698.20 
20y	697.80 
3y	696.08 
20y	696.00 
20y	695.36 
20y	695.09 
3y	695.00 
3y	692.80 
3y	692.00 
3y	691.41 
20y	691.00 
3y	691.00 
3y	691.00 
20y	691.00 
3y	690.99 
3y	690.24 
20y	689.80 
3y	689.25 
20y	688.93 
20y	688.00 
3y	686.11 
20y	686.00 
3y	685.40 
3y	684.00 
3y	682.40 
3y	682.14 
20y	682.00 
3y	680.60 
20y	680.10 
3y	679.89 
3y	679.10 
3y	678.90 
3y	677.00 
3y	676.90 
3y	676.24 
3y	675.28 
20y	675.00 
3y	674.27 
3y	673.40 
20y	672.00 
3y	671.99 
3y	671.27 
20y	671.00 
20y	671.00 
3y	670.29 
3y	670.13 
3y	670.00 
3y	669.66 
20y	669.00 
20y	669.00 
