Year	ContigN50	Type
3y	7600.00 	pan-genome
3y	7595.29 	pan-genome
3y	7545.34 	pan-genome
3y	7540.00 	pan-genome
3y	7525.32 	haplotype
3y	7520.00 	pan-genome
3y	7415.46 	pan-genome
3y	7400.00 	pan-genome
3y	7380.00 	pan-genome
3y	7374.17 	pan-genome
3y	7354.38 	pan-genome
3y	7350.00 	pan-genome
3y	7285.00 	haplotype
3y	7217.55 	pan-genome
3y	7200.00 	haplotype
3y	7126.34 	pan-genome
3y	6960.00 	pan-genome
3y	6941.64 	pan-genome
3y	6940.00 	pan-genome
3y	6880.00 	pan-genome
3y	6875.40 	pan-genome
3y	6800.00 	pan-genome
3y	6750.00 	pan-genome
3y	6720.00 	pan-genome
3y	6705.92 	pan-genome
3y	6634.70 	pan-genome
3y	6634.62 	pan-genome
3y	6630.00 	pan-genome
3y	6520.00 	pan-genome
3y	6500.00 	pan-genome
3y	6472.52 	pan-genome
3y	6443.55 	pan-genome
3y	6410.15 	pan-genome
3y	6360.95 	pan-genome
3y	6280.00 	pan-genome
3y	6270.00 	pan-genome
3y	6254.90 	pan-genome
3y	6248.23 	pan-genome
3y	6196.58 	pan-genome
3y	6160.00 	pan-genome
3y	6101.67 	pan-genome
3y	6040.00 	pan-genome
3y	6025.83 	pan-genome
3y	6000.00 	pan-genome
3y	5910.00 	pan-genome
3y	5780.00 	pan-genome
3y	5690.00 	pan-genome
3y	5650.00 	haplotype
3y	5606.24 	pan-genome
3y	5554.40 	pan-genome
3y	5545.48 	pan-genome
3y	5539.07 	pan-genome
3y	5497.66 	pan-genome
3y	5461.16 	pan-genome
3y	5450.00 	pan-genome
3y	5400.00 	pan-genome
3y	5300.00 	pan-genome
3y	5300.00 	pan-genome
3y	5300.00 	pan-genome
3y	5280.00 	haplotype
3y	5255.42 	pan-genome
3y	5239.85 	pan-genome
3y	5214.07 	pan-genome
3y	5200.00 	pan-genome
3y	5164.58 	pan-genome
3y	5150.00 	pan-genome
3y	5110.84 	pan-genome
3y	5100.00 	pan-genome
3y	5100.00 	pan-genome
3y	5005.34 	pan-genome
20y	5000.00 	pan-genome
3y	4949.17 	pan-genome
3y	4900.00 	pan-genome
3y	4900.00 	pan-genome
3y	4827.24 	pan-genome
3y	4700.00 	pan-genome
