Genomesize	ContigN50	Platform
329.06	3287.09	Other_TGS
392.00	3284.00	Other_TGS
822.64	3273.94	Other_TGS
565.90	3255.00	HiFi
269.00	3254.00	Other_TGS
344.00	3250.00	Other_TGS
594.87	3230.00	Other_TGS
1241.00	3211.00	Other_TGS
2934.99	3200.00	Other_TGS
745.78	3200.00	Other_TGS
485.00	3200.00	Other_TGS
223.66	3200.00	Other_TGS
1730.00	3190.00	Other_TGS
1057.00	3190.00	Other_TGS
709.12	3167.25	Other_TGS
288.43	3160.00	Other_TGS
2131.00	3100.00	Other_TGS
1341.70	3100.00	Other_TGS
565.40	3100.00	Other_TGS
245.30	3080.00	Other_TGS
5000.00	3076.00	HiFi
480.00	3050.00	Other_TGS
295.50	3050.00	Other_TGS
1590.00	3030.00	Other_TGS
626.43	3012.31	Other_TGS
732.20	3000.00	Other_TGS
494.80	3000.00	Other_TGS
456.60	3000.00	Other_TGS
299.81	3000.00	Other_TGS
461.00	2970.00	Other_TGS
2400.00	2927.00	Other_TGS
721.50	2920.00	Other_TGS
111.50	2920.00	Other_TGS
1354.26	2910.00	Other_TGS
498.27	2910.00	Other_TGS
715.90	2907.00	Other_TGS
267.20	2907.00	Other_TGS
2070.00	2900.00	Other_TGS
316.00	2900.00	Other_TGS
10700.00	2890.00	Other_TGS
636.41	2890.00	Other_TGS
1960.00	2880.00	Other_TGS
391.00	2880.00	HiFi
386.00	2860.00	Other_TGS
423.50	2852.00	Other_TGS
407.10	2850.00	Other_TGS
1080.00	2843.26	Other_TGS
688.93	2830.00	Other_TGS
405.33	2830.00	Other_TGS
19051.00	2823.00	HiFi
370.00	2820.00	Other_TGS
544.00	2800.00	Other_TGS
475.00	2800.00	Other_TGS
361.60	2800.00	Other_TGS
162.18	2773.52	Other_TGS
1270.71	2770.00	HiFi
823.74	2760.00	Other_TGS
324.88	2751.61	Other_TGS
237.80	2750.00	Other_TGS
1078.00	2730.00	Other_TGS
301.00	2710.00	Other_TGS
541.00	2701.00	Other_TGS
11900.00	2700.00	HiFi
594.75	2700.00	Other_TGS
